Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
327,Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,10,5,34,14,41.2,3.4,1.4,0.15,0.36,16,0,0,0,4.3,4.3,0.13,0.7,0.7
328,Angus Gunn,eng ENG,GK,Southampton,23,1996,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
329,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,1,7,2,28.6,0.71,0.2,0.14,0.5,16.1,0,0,0,0.5,0.5,0.07,0.5,0.5
330,Danny Rose,eng ENG,DF,Tottenham,29,1990,9.9,0,2,0,0,0.2,0,0,,18.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
331,Adrián,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
332,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,0,10,2,20,1.04,0.21,0,0,20.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
333,Callum Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,1,22,4,18.2,2.29,0.42,0.05,0.25,17.4,0,0,0,1.7,1.7,0.08,-0.7,-0.7
334,Danny Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
335,Moise Kean,it ITA,FW,Everton,19,2000,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,15.6,0,0,0,4.1,4.1,0.14,-2.1,-2.1
336,Joe Willock,eng ENG,"MF,FW",Arsenal,19,1999,9.5,1,14,4,28.6,1.47,0.42,0.07,0.25,15.3,0,0,0,2.3,2.3,0.17,-1.3,-1.3
337,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,4,23,10,43.5,2.44,1.06,0.17,0.4,11.7,1,0,0,4.4,4.4,0.19,-0.4,-0.4
338,Naby Keïta,gn GUI,MF,Liverpool,24,1995,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,18.4,0,0,0,1.5,1.5,0.13,0.5,0.5
339,Mat?j Vydra,cz CZE,FW,Burnley,27,1992,9.1,2,18,10,55.6,1.98,1.1,0.11,0.2,12.7,0,0,0,3.7,3.7,0.21,-1.7,-1.7
340,Danny Welbeck,eng ENG,"FW,MF",Watford,28,1990,9.1,2,21,9,42.9,2.3,0.99,0.1,0.22,10.7,0,0,0,3.3,3.3,0.16,-1.3,-1.3
341,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,0,5,0,0,0.56,0,0,,15.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
342,Glenn Murray,eng ENG,FW,Brighton,35,1983,8.9,1,17,4,23.5,1.92,0.45,0.06,0.25,13.8,0,0,0,2.1,2.1,0.13,-1.1,-1.1
343,Eric García,es ESP,DF,Manchester City,18,2001,8.8,0,2,1,50,0.23,0.11,0,0,6.5,0,0,0,0.5,0.5,0.26,-0.5,-0.5
344,Yan Valery,fr FRA,DF,Southampton,20,1999,8.7,0,3,2,66.7,0.35,0.23,0,0,16.2,0,0,0,0.4,0.4,0.12,-0.4,-0.4
345,Christian Fuchs,at AUT,DF,Leicester City,33,1986,8.6,0,5,1,20,0.58,0.12,0,0,26.1,2,0,0,0.2,0.2,0.03,-0.2,-0.2
346,Dejan Lovren,hr CRO,DF,Liverpool,30,1989,8.6,0,5,1,20,0.58,0.12,0,0,8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
347,Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,8.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
348,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,0,21,7,33.3,2.47,0.82,0,0,20,0,0,0,1,1,0.05,-1,-1
349,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,22,1996,8.5,0,3,0,0,0.35,0,0,,27.4,0,0,0,0,0,0.02,0,0
350,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,0,6,1,16.7,0.71,0.12,0,0,16.5,0,0,0,1,1,0.16,-1,-1
351,Andre Gray,jm JAM,FW,Watford,28,1991,8.4,2,19,6,31.6,2.26,0.72,0.11,0.33,11.8,0,0,0,2.8,2.8,0.15,-0.8,-0.8
352,Juan Mata,es ESP,"MF,FW",Manchester Utd,31,1988,8.4,0,9,1,11.1,1.07,0.12,0,0,17.8,2,0,0,1.1,1.1,0.13,-1.1,-1.1
353,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,8.3,0,5,1,20,0.6,0.12,0,0,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
354,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0,0.48,0,0,,27.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
355,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8,0,10,3,30,1.24,0.37,0,0,20.4,2,0,0,0.7,0.7,0.07,-0.7,-0.7
356,Divock Origi,be BEL,FW,Liverpool,24,1995,8,4,14,6,42.9,1.76,0.75,0.29,0.67,15.9,0,0,0,2.2,2.2,0.16,1.8,1.8
357,Junior Stanislas,eng ENG,"MF,DF",Bournemouth,29,1989,7.9,3,16,6,37.5,2.02,0.76,0.13,0.33,20.5,3,1,1,1.6,0.8,0.05,1.4,1.2
358,Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,15,0,0,0,1.2,1.2,0.13,1.8,1.8
359,Joël Matip,cm CMR,DF,Liverpool,27,1991,7.8,1,4,1,25,0.51,0.13,0.25,1,9.3,0,0,0,0.3,0.3,0.08,0.7,0.7
360,Kyle Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,0,2,0,0,0.26,0,0,,17,0,0,0,0.1,0.1,0.04,-0.1,-0.1
